"Sigla","Cod_provincia_ISTAT","nM","mV","nF","fV","vr","logvr","sesso","minn","SE","Coort","Year","Grade","gamlssSE","Regioni","Provincia","TassoOccup_MeanM","TassoOccup_MeanF","TassoOccup_MeanT","ValAgg_Mean","AmmDonne_X2009","AmmDonne_X2010","AmmDonne_X2011","AmmDonne_X2012","AmmDonne_X2013","AmmDonne_X2014","AmmDonne_X2015","AmmDonne_X2016","AmmDonne_X2017","AmmDonne_X2018","AmmDonne_X2019","AmmDonne_X2020","AmmDonne_X2021","AmmDonne_X2022","AmmDonne_Mean","Filter"
"VC",2,654,1423.79912096653,678,1538.96520881664,0.925166542303664,-0.077781511942309,0.376917459295774,654,0.0782061887005775,1,1516,8,0.218217890235992,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,692,1380.49882529337,649,1196.91314641712,1.15338262381511,0.14269903690025,-0.103818556633949,649,0.078506867197886,4,1819,8,0.0606898158203018,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,633,1844.28606981961,594,1575.66334677397,1.17048230740127,0.157415892414917,0.94848557122465,594,0.0820609939862218,2,1314,5,0.210311124838343,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,607,1668.96199988949,607,1693.77026089822,0.985353231437906,-0.0147550914986013,1.09207418987913,607,0.0811774958468199,1,1213,5,0.181119388261535,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,690,1324.65166384226,622,1053.43787624906,1.25745589152243,0.22909054605246,0.376678599638141,622,0.0801926939764625,6,2223,10,0.428174419288838,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,697,1488.97512823463,633,1202.76995908141,1.23795503619977,0.213460853893433,0.258729308198734,633,0.0794928633517164,6,1718,5,0.0704116343645542,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,637,1866.14646859194,635,1886.67512752313,0.989119134167976,-0.0109404953946644,0.858702984425474,635,0.0793675790132545,4,1213,2,0.184219031545903,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,619,2080.50333855873,661,2217.05775630842,0.938407370145796,-0.0635711277246559,1.34025854128067,619,0.0803867871058141,7,1516,2,0.273861278752583,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,527,2086.53151459248,545,1940.29313704514,1.07536921857593,0.0726640617514401,1.1604708994458,527,0.0871213683738064,12,2021,2,0.414039335605413,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
"VC",2,701,1593.0560163468,630,1497.1813362958,1.06403678547597,0.0620699631375888,0.00680391245327885,630,0.0796819072889596,18,1213,6,0.11744683696438,"Piemonte","Vercelli",70.8479902,57.244655,64.0920431333333,24251.0943846154,25.4,25.6,25.4,25.5,25.5,28.5,28.2,30.4,31.1,31.8,32,31.8,33,33.4,29.1142857142857,1
